STT;Tên VB;Số hiệu;Status
38;Luật Khám bệnh, chữa bệnh;15/2023/QH15;Văn bản còn hiệu lực
39;Luật Phòng, chống bạo lực gia đình;13/2022/QH15;Văn bản còn hiệu lực
40;Luật Dầu khí;12/2022/QH15;Văn bản còn hiệu lực
41;Luật Phòng, chống rửa tiền;14/2022/QH15;Văn bản còn hiệu lực
42;Luật Thi đua, khen thưởng;06/2022/QH15;Văn bản còn hiệu lực
43;Luật Kinh doanh bảo hiểm;08/2022/QH15;Văn bản còn hiệu lực
44;Luật Cảnh sát cơ động;04/2022/QH15;Văn bản còn hiệu lực
45;Luật Điện ảnh;05/2022/QH15;Văn bản còn hiệu lực
46;Luật sửa đổi, bổ sung một số điều và Phụ lục Danh mục chỉ tiêu thống kê quốc gia của Luật Thống kê, số 01/2021/QH15;01/2021/QH15;Văn bản còn hiệu lực
47;Luật sửa đổi, bổ sung một số điều của Luật Phòng, chống nhiễm vi rút gây ra hội chứng suy giảm miễn dịch mắc phải ở người (HIV/AIDS);71/2020/QH14;Văn bản còn hiệu lực
48;Luật Thỏa thuận quốc tế;70/2020/QH14;Văn bản còn hiệu lực
49;Luật sửa đổi, bổ sung một số điều của Luật Giám định tư pháp;56/2020/QH14;Văn bản còn hiệu lực
50;Luật Thư viện;46/2019/QH14;Văn bản còn hiệu lực
51;Luật sửa đổi, bổ sung một số điều của Luật Kiểm toán Nhà nước;55/2019/QH14;Văn bản còn hiệu lực
52;Luật Giáo dục;43/2019/QH14;Văn bản còn hiệu lực
53;Luật sửa đổi, bổ sung một số điều của Luật Giáo dục Đại học;34/2018/QH14;Văn bản còn hiệu lực
54;Luật Cảnh sát biển Việt Nam;33/2018/QH14;Văn bản còn hiệu lực
55;Luật Chăn nuôi;32/2018/QH14;Văn bản còn hiệu lực
56;Luật Trồng trọt;31/2018/QH14;Văn bản còn hiệu lực
57;Luật sửa đổi, bổ sung một số điều của Luật Thể dục, thể thao;26/2018/QH14;Văn bản còn hiệu lực
58;Luật An ninh mạng;24/2018/QH14;Văn bản còn hiệu lực
59;Luật sửa đổi, bổ sung một số điều của Luật Cơ quan đại diện nước Cộng hòa xã hội chủ nghĩa Việt Nam ở nước ngoài;19/2017/QH14;Văn bản còn hiệu lực
60;Luật Du lịch;09/2017/QH14;Văn bản còn hiệu lực
61;Luật Quản lý ngoại thương;05/2017/QH14;Văn bản còn hiệu lực
