No.,file_name,law_type,year,law_name,Số hiệu,lĩnh_vực,status,file_path,file_type,"SỬA ĐỔI, BỔ SUNG",_so_hieu_key,CHECK_META_IN_AUTH,CHECK_AUTH_IN_META,RECORD_TYPE,IN_AUTHORITATIVE
210,Luật-64-2006-QH11,LUẬT,2006,"Luật Phòng, Chống Nhiễm Vi Rút Gây Ra Hội Chứng Suy Giảm Miễn Dịch Mắc Phải Ở Người (Hiv/Aids)",64/2006/QH11,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-64-2006-QH11.docx,.docx,,64/2006/QH11,OK,,METADATA_ROW,True
211,Luật-64-2014-QH13,LUẬT,2014,"Luật Sửa Đổi, Bổ Sung Một Số Điều CỦA LUẬT THI HÀNH ÁN DÂN SỰ",64/2014/QH13,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-64-2014-QH13.docx,.docx,"SỬA ĐỔI, BỔ SUNG",64/2014/QH13,OK,,METADATA_ROW,True
212,Luật-64-2020-QH14,LUẬT,2020,Luật Đầu Tư Theo Phương Thức Đối Tác Công Tư,64/2020/QH14,economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-64-2020-QH14.docx,.docx,,64/2020/QH14,OK,,METADATA_ROW,True
213,Luật-64-2025-QH15,LUẬT,2025,Luật Ban Hành Văn Bản Quy Phạm Pháp Luật,64/2025/QH15,non-economics,Văn bản bị sửa đổi,D:\Github\KLTN\application\inputs\full_law\Luật-64-2025-QH15.docx,.docx,,64/2025/QH15,OK,,METADATA_ROW,True
214,Luật-65-2006-QH11,LUẬT,2006,Luật Luật Sư,65/2006/QH11,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-65-2006-QH11.docx,.docx,,65/2006/QH11,OK,,METADATA_ROW,True
215,Luật-65-2020-QH14,LUẬT,2020,"Luật SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT TỔ CHỨC QUỐC HỘI",65/2020/QH14,non-economics,Văn bản bị sửa đổi,D:\Github\KLTN\application\inputs\full_law\Luật-65-2020-QH14.docx,.docx,"SỬA ĐỔI, BỔ SUNG",65/2020/QH14,OK,,METADATA_ROW,True
216,Luật-66-2006-QH11,LUẬT,2006,Luật Hàng Không Dân Dụng Việt Nam,66/2006/QH11,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-66-2006-QH11.docx,.docx,,66/2006/QH11,OK,,METADATA_ROW,True
217,Luật-66-2020-QH14,LUẬT,2020,Luật Biên Phòng Việt Nam,66/2020/QH14,non-economics,Văn bản bị sửa đổi,D:\Github\KLTN\application\inputs\full_law\Luật-66-2020-QH14.docx,.docx,,66/2020/QH14,OK,,METADATA_ROW,True
218,Luật-66-2025-QH15,LUẬT,2025,Luật Thuế Tiêu Thụ Đặc Biệt,66/2025/QH15,economics,Văn bản chưa áp dụng,D:\Github\KLTN\application\inputs\full_law\Luật-66-2025-QH15.docx,.docx,,66/2025/QH15,OK,,METADATA_ROW,True
219,Luật-67-2006-QH11,LUẬT,2006,Luật Công Nghệ Thông Tin,67/2006/QH11,economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-67-2006-QH11.docx,.docx,,67/2006/QH11,OK,,METADATA_ROW,True
220,Luật-67-2011-QH12,LUẬT,2011,Luật Kiểm Toán Độc Lập,67/2011/QH12,economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-67-2011-QH12.docx,.docx,,67/2011/QH12,OK,,METADATA_ROW,True
221,Luật-67-2020-QH14,LUẬT,2020,"Luật Sửa Đổi, Bổ Sung Một Số Điều Của Luật Xử Lý Vi Phạm Hành Chính",67/2020/QH14,economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-67-2020-QH14.docx,.docx,"SỬA ĐỔI, BỔ SUNG",67/2020/QH14,OK,,METADATA_ROW,True
222,Luật-67-2025-QH15,LUẬT,2025,Luật Thuế Thu Nhập Doanh Nghiệp,67/2025/QH15,economics,Văn bản chưa áp dụng,D:\Github\KLTN\application\inputs\full_law\Luật-67-2025-QH15.docx,.docx,,67/2025/QH15,OK,,METADATA_ROW,True
223,Luật-68-2006-QH11,LUẬT,2006,Luật Tiêu Chuẩn Và Quy Chuẩn Kỹ Thuật,68/2006/QH11,economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-68-2006-QH11.docx,.docx,,68/2006/QH11,OK,,METADATA_ROW,True
224,Luật-68-2020-QH14,LUẬT,2020,Luật Cư Trú,68/2020/QH14,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-68-2020-QH14.docx,.docx,,68/2020/QH14,OK,,METADATA_ROW,True
225,Luật-68-2025-QH15,LUẬT,2025,Luật Quản Lý Và Đầu Tư Vốn Nhà Nước Tại Doanh Nghiệp,68/2025/QH15,economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-68-2025-QH15.docx,.docx,,68/2025/QH15,OK,,METADATA_ROW,True
226,Luật-69-2020-QH14,LUẬT,2020,Luật Người Lao Động Việt Nam Đi Làm Việc Ở Nước Ngoài Theo Hợp Đồng,69/2020/QH14,non-economics,Văn bản bị sửa đổi,D:\Github\KLTN\application\inputs\full_law\Luật-69-2020-QH14.docx,.docx,,69/2020/QH14,OK,,METADATA_ROW,True
227,Luật-69-2025-QH15,LUẬT,2025,Luật Hóa Chất,69/2025/QH15,non-economics,Văn bản chưa áp dụng,D:\Github\KLTN\application\inputs\full_law\Luật-69-2025-QH15.docx,.docx,,69/2025/QH15,OK,,METADATA_ROW,True
228,Luật-70-2014-QH13,LUẬT,2014,"Luật Sửa Đổi, Bổ Sung Một Số Điều CỦA LUẬT THUẾ TIÊU THỤ ĐẶC BIỆT",70/2014/QH13,economics,Văn bản bị sửa đổi,D:\Github\KLTN\application\inputs\full_law\Luật-70-2014-QH13.docx,.docx,"SỬA ĐỔI, BỔ SUNG",70/2014/QH13,OK,,METADATA_ROW,True
229,Luật-70-2020-QH14,LUẬT,2020,Luật Thỏa Thuận Quốc Tế,70/2020/QH14,non-economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-70-2020-QH14.docx,.docx,,70/2020/QH14,OK,,METADATA_ROW,True
